time,x,ema_signal,fir_signal
12.59375,2174.0,2172.924079579151,2175.2129547767604
12.625,2176.0,2174.292864166429,2174.9095422128294
12.65625,2177.0,2175.497539612368,2174.0267457474815
12.6875,2180.0,2177.5011344848645,2172.656498393034
12.71875,2176.0,2176.8331296391,2171.159169587134
12.75,2177.0,2176.9073869497006,2170.054196726659
12.78125,2181.0,2178.728599757084,2169.792080281042
12.8125,2178.0,2178.4043728651814,2170.524704572779
12.84375,2179.0,2178.6694269401755,2172.0338923324
12.875,2178.0,2178.3715319517974,2173.859737307822
12.90625,2180.0,2179.096200233248,2175.5278068242537
12.9375,2179.0,2179.0533911294524,2176.754785895255
12.96875,2179.0,2179.029632076846,2177.504610877025
13.0,2177.0,2178.12644580265,2177.927132155218
13.03125,2177.0,2177.6251774204707,2178.2139903730217
13.0625,2178.0,2177.791973468361,2178.4746338424893
13.09375,2180.0,2178.7745452749405,2178.6929707247227
13.125,2177.0,2177.9848726275923,2178.8292053806435
13.15625,2177.0,2177.5466043083134,2178.863115340402
13.1875,2179.0,2178.1933653911137,2178.7860799199534
13.21875,2175.0,2176.772317792068,2178.616927624768
13.25,2176.0,2176.4286363745978,2178.406626938539
13.28125,2181.0,2178.462893187901,2178.2197716016913
13.3125,2171.0,2175.141905719285,2178.0803608870438
13.34375,2176.0,2175.523757674204,2177.9736310301473
13.375,2174.0,2174.845685509183,2177.879564775086
13.40625,2176.0,2175.3593554575964,2177.7586649849604
13.4375,2176.0,2175.6444422789664,2177.5704139386903
13.46875,2176.0,2175.8026654648265,2177.287500606107
13.5,2172.0,2174.1104793329787,2176.9117615937535
13.53125,2175.0,2174.506316029803,2176.4803653998656
13.5625,2175.0,2174.7260053965406,2176.054783440452
13.59375,2174.0,2174.40293299508,2175.687655250047
13.625,2174.0,2174.2236278122696,2175.4087821458224
13.65625,2174.0,2174.1241134358097,2175.2201112263638
13.6875,2175.0,2174.5138829568746,2175.094587713752
13.71875,2180.0,2176.9552050410657,2174.9824330895003
13.75,2172.0,2174.750138797792,2174.8350109934754
13.78125,2174.0,2174.4163270327745,2174.647285235341
13.8125,2174.0,2174.2310615031897,2174.475475933956
13.84375,2174.0,2174.12823913427,2174.399964995404
13.875,2170.0,2172.29117271952,2174.4743433025287
13.90625,2172.0,2172.161600859333,2174.669194860759
